experiment,horizon,MAE_mean,MAE_std,rank,E1_MAE,delta_MAE_model_minus_E1,relative_change_percent
E1_traffic_only,1,0.999443819461626,0.0025867091530302846,1.0,0.999443819461626,0.0,0.0
E1_traffic_only,3,1.1750325139711104,0.0024572489243734346,1.0,1.1750325139711104,0.0,0.0
E1_traffic_only,6,1.2165797705586332,0.004772818161615376,1.0,1.2165797705586332,0.0,0.0
E2_rainfall,1,1.1462492828261008,0.012951664112037246,3.0,0.999443819461626,0.14680546336447486,14.688715914372766
E2_rainfall,3,1.3192799537666768,0.010182106027980545,3.0,1.1750325139711104,0.14424743979556642,12.276038158984333
E2_rainfall,6,1.4186564724490638,0.017601009723209507,3.0,1.2165797705586332,0.2020767018904306,16.610230317872237
E3_meteorology,1,1.031562440412309,0.003214328304951213,2.0,0.999443819461626,0.03211862095068296,3.2136494643575277
E3_meteorology,3,1.234444804273416,0.0018044674138611113,2.0,1.1750325139711104,0.05941229030230555,5.05622521895307
E3_meteorology,6,1.3326388245776326,0.0076033112858800555,2.0,1.2165797705586332,0.11605905401899941,9.539781675451255
E4_atmospheric,1,1.1864205470263536,0.010322117477879362,5.0,0.999443819461626,0.1869767275647276,18.708077825269562
E4_atmospheric,3,1.3872936166938512,0.00845087879110129,4.0,1.1750325139711104,0.2122611027227408,18.06427483486295
E4_atmospheric,6,1.4486597596445852,0.009249152817435583,4.0,1.2165797705586332,0.23207998908595195,19.07643006256669
E5_full_fusion,1,1.1682331893969744,0.015096901035018958,4.0,0.999443819461626,0.16878936993534843,16.88832995398089
E5_full_fusion,3,1.4082432861839043,0.014693092923662443,5.0,1.1750325139711104,0.23321077221279385,19.84717609427169
E5_full_fusion,6,1.500035140978673,0.018943964698173135,5.0,1.2165797705586332,0.28345537042003977,23.29936575304731
